Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
{PS4} [SQTR] Sky Limits #2 (Squall-TR),https://prod.cloud.rockstargames.com/ugc/gta5mission/6748/mySat6ISvk-Pw7cyLDc83A/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/mySat6ISvk-Pw7cyLDc83A,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,PS4/PS5 - Update: 05/2023                      Parkour com dois caminhos. (With two paths)                   Tempo aproximado: 07 min.                    #Porkmodz #Fiorito #Zeal #...,"#race
#skill
#parkour
#carkour
#mika
#zeal
#lipao
#fiorito
#porkmodz
#
chris92"
{PS4} [SQTR] Moto PanTour #2 (Squall-TR),https://prod.cloud.rockstargames.com/ugc/gta5mission/1564/sLFTqP7HykGI6YSo3_jdxQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/sLFTqP7HykGI6YSo3_jdxQ,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,PS4/PS5 - Update: 05/2023                   Parkour de Moto e Panto.          Tempo aproximado:  13 min.                     #Porkmodz #Fiorito #Zeal #Lipao #Motherfoca #Sorveteiro...,"#race
#skill
#parkour
#carkour
#mika
#zeal
#lipao
#fiorito
#porkmodz
#
chris92"
{PS4} {KV}M.R PokeBola (kevvon35),https://prod.cloud.rockstargames.com/ugc/gta5mission/0496/_SuXHV5d_0u4I8iiW2VPdw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/_SuXHV5d_0u4I8iiW2VPdw,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Nuevo mega rampa con la temática de la PokeBola/#Ersino#Luu #Danirep #Kosi023 #Bryandres #Chris92 #Matuchii #Kawaii #FrannModz51 #CrisF27/ Mi canal de YT:kevvonsito, copied from ps...",
{PS4} [SQTR] Skill Fast #1 (Squall-TR),https://prod.cloud.rockstargames.com/ugc/gta5mission/8137/8gpOdMGD7k-Dvqsu6eTJXw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/8gpOdMGD7k-Dvqsu6eTJXw,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,Corrida de alta velocidade com saltos.                           Speed race with jumps.                    Tempo aproximado: 08 min.                      #Porkmodz #Fiorito #Zeal #...,"#race
#skill
#parkour
#carkour
#mika
#zeal
#lipao
#fiorito
#porkmodz
#
chris92"
{PS4} [SQTR] Crazy Airport #2 (Squall-TR),https://prod.cloud.rockstargames.com/ugc/gta5mission/4045/dyAEkv_qLEKhOJzEudhBTA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/dyAEkv_qLEKhOJzEudhBTA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,PS4/PS5 - Update: 05/2023                      Parkour pelo aeroporto.          Airport parkour.            Tempo aproximado: 12 min.                     #Porkmodz #Fiorito #Zeal #...,
[POOJAN]-MAP FOR CHRIS92,https://prod.cloud.rockstargames.com/ugc/gta5mission/6817/arT1bzgTwkemFkUoPgAYLw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/arT1bzgTwkemFkUoPgAYLw,https://socialclub.rockstargames.com/member/drazinkohr/jobs?title=gtav&platform=pc,Drazinkohr,"Hello Chris Sir!Here You Go.Maybe Map Is Not Good Im Just Learning Creat The Map Hope You Enjoy My Map.2 Tinybaar.[#Chris92,#Halabuji__,#BalthazarHD,Frtar_76]",
{PS4} SCRAMKOURACE XXVIII (xenia2005),https://prod.cloud.rockstargames.com/ugc/gta5mission/7911/9iHVuPOrA0-jzJRrch-6wg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/9iHVuPOrA0-jzJRrch-6wg,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Scramjet car and friends :), copied from ps4!","#lasalle
#kosi023
#frannmodz51
#
chris92
#matuchiii
#-_xyjlugah_-"
{T10} Néo Loopo,https://prod.cloud.rockstargames.com/ugc/gta5mission/6454/HCASgXjAt0KTjVTCGy1eQw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/HCASgXjAt0KTjVTCGy1eQw,https://socialclub.rockstargames.com/member/thomas10310/jobs?title=gtav&platform=pc,Thomas10310,PC Version | Néo | Course | L1 to favorite | YouTube : Thomas10 Multigaming #TMLG #Chris92 #TFAM #Lipao #Fiorito #KM #Oxy #Danirep #TLS,"#funny
#fun
#stunt
#parkour
#week
#parcours
#danirep
#lipao
#porkmodz"
{PS4} [PM] Megaramp Mutan (patoudemoorea),https://prod.cloud.rockstargames.com/ugc/gta5mission/6479/VcZSXtuMSUuqCLv3vrDODQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/VcZSXtuMSUuqCLv3vrDODQ,https://socialclub.rockstargames.com/member/chris92-yt/jobs?title=gtav&platform=pc,Chris92-YT,Take the speed bump #KM#CHRIS92#TEAMFAMILY#OXYMORE76#DRAGIIIBUS#DAVEBOND#LYNDLE#LESOIDES#MARIONGAMEUSE#BNR#BTL#NEO#NS67#AURECVT#CARLITO#DJO#NANOU#GREGORY#BASTIEN#JACQUESCELERE#TIWA...,
{PS4} (Mario) Parkour 28 (dlugi2627),https://prod.cloud.rockstargames.com/ugc/gta5mission/5891/PlLJwzDPjkCEta8MFOqHqA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/PlLJwzDPjkCEta8MFOqHqA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Parkour 28 FMJ-Manchez #Chris92 #Casi-Tilly #Alk-Tom #Fun #EasyMap #MyNewMap #Gta5 , copied from ps4!",
