Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
{PS5} AirGermany Parkour #584 (DaveStylemh),https://prod.cloud.rockstargames.com/ugc/gta5mission/3094/p1lbEychoE2WjltRkOFN1Q/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/p1lbEychoE2WjltRkOFN1Q,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Parkour Stuntrennen ! All Vehicle ! Parkour Stuntrennen  , copied from ps5!","#4x4
#fun
#epic
#issi
#level
#wallride
#panto
#t20
#asien"
{PS4} AirGermany Parkour #583 (DaveStylemh),https://prod.cloud.rockstargames.com/ugc/gta5mission/3253/ABYm_5MyO0uUJbbJRtW4tg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/ABYm_5MyO0uUJbbJRtW4tg,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Parkour Stuntrennen! ISSI RALLY ! Parkour Stuntrennen , copied from ps4!","#4x4
#fun
#epic
#issi
#hard
#level
#wallride
#
#panto
#t20
#asien"
{PS4} AirGermany Parkour #582 (DaveStylemh),https://prod.cloud.rockstargames.com/ugc/gta5mission/7961/xh5TGnyc8UiGKY4SVapzJw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/xh5TGnyc8UiGKY4SVapzJw,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Parkour Stuntrennen ! NIGHTSHARK ! Parkour Stuntrennen, copied from ps4!","#4x4
#fun
#epic
#issi
#level
#wallride
#panto
#t20
#asien"
{PS4} AirGermany Parkour #506 (DaveStylemh) HARD VERSION,https://prod.cloud.rockstargames.com/ugc/gta5mission/9774/U_kGbWXUC029uBkc4t8q8Q/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/U_kGbWXUC029uBkc4t8q8Q,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Parkour Stuntrennen ! MAMMOTH PATRIOT ! Parkour Stuntrennen, copied from ps4!HARD VERSION",
Battle of Warsaw,https://prod.cloud.rockstargames.com/ugc/gta5mission/4970/5ynKADZonU-3rMGBX7u5Eg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/5ynKADZonU-3rMGBX7u5Eg,https://socialclub.rockstargames.com/member/makatonoob_23/jobs?title=gtav&platform=pc,MakaToNoob_23,"Poland vs Germany Battle of a airport in Warsaw air,ground and water(is not politycal)","#water
#
air
#ground
#battle
#warsaw"
{PS4} AirGermany Parkour #581 (DaveStylemh),https://prod.cloud.rockstargames.com/ugc/gta5mission/9195/Mu4kAQA0SkGJ2LWbIzKpGg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/Mu4kAQA0SkGJ2LWbIzKpGg,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Parkour Stuntrennen ! TAHOMA COUPE ! Parkour Stuntrennen , copied from ps4!","#4x4
#fun
#epic
#issi
#level
#wallride
#panto
#t20
#asien"
{PS4} AirGermany Parkour #579 (DaveStylemh) HARD VERSION,https://prod.cloud.rockstargames.com/ugc/gta5mission/7463/cHLB5NHu9k6BS5Jd6W-_MA/2_1.jpg,https://socialclub.rockstargames.com/job/gtav/cHLB5NHu9k6BS5Jd6W-_MA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Parkour Stuntrennen ! UBERMACHT RHINEHART ! Parkour Stuntrennen, copied from ps4! HARD VERSION",
{PS4} AirGermany Parkour #560 (DaveStylemh) HARD VERSION,https://prod.cloud.rockstargames.com/ugc/gta5mission/5572/Rl5GHNxvvEW8hDazbC7jSw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/Rl5GHNxvvEW8hDazbC7jSw,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Parkour Stuntrennen ! GO-KARTS ! Parkour Stuntrennen, copied from ps4! HARD VERSION",
{PS4} AirGermany Parkour #580 (DaveStylemh),https://prod.cloud.rockstargames.com/ugc/gta5mission/7607/uZ3Fz0XiJkmTfrMKWZyFbw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/uZ3Fz0XiJkmTfrMKWZyFbw,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Parkour Stuntrennen ! TALIGATER S ! Parkour Stuntrennen, copied from ps4!",
{PS4} AirGermany Parkour #579 (DaveStylemh),https://prod.cloud.rockstargames.com/ugc/gta5mission/3953/tptJnEsnHUCakCAqEft5jg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/tptJnEsnHUCakCAqEft5jg,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Parkour Stuntrennen ! UBERMACHT RHINEHART !  Parkour Stuntrennen, copied from ps4!","#4x4
#fun
#epic
#issi
#level
#wallride
#panto
#t20
#asien"
