Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
{PS4} {SOLD} CARKOUD14S 9 ! (JohnnyKammos),https://prod.cloud.rockstargames.com/ugc/gta5mission/2436/8wZsfB1mykixsqyLaFhtUw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/8wZsfB1mykixsqyLaFhtUw,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Criado pelo soldadodamorte05 ,para o meu brother Lipao e o cacadias com nebula turbo parkour divertido espero que gostem e jogue as outras versões do CARKOUD14S e do LIPONES BIGODA...","#lunatic
#danirep
#kos1
#lipao
#fiorito
#porkmodz"
{PS4} {SOLD}LIPONES BIGODAO 4! (JohnnyKammos),https://prod.cloud.rockstargames.com/ugc/gta5mission/1632/6f9hS-HuQEGYEBf9xRffNA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/6f9hS-HuQEGYEBf9xRffNA,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"PSN:Soldadodamorte05, dedicado ao lipao parkour fácil super divertido com mega rampa final de garrafas de água ,dei meu máximo lipao espero que goste :) #LIPÃO #LIPAO #Lipao #CACAD...",
{PS4} {SOLD} LIPONES BIGODAO 5! (JohnnyKammos),https://prod.cloud.rockstargames.com/ugc/gta5mission/1403/LNvEOTOor0W05r8OgweAtQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/LNvEOTOor0W05r8OgweAtQ,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"psn:Soldadodamorte05,Dedicado ao meu YouTube épico Lipao e sua gang ,parkour fácil e divertido com krieger ,mega rampa final de ouro,espero que goste dei meu máximo mano :)#LIPAO #...","#lunatic
#kosi
#danirep
#lipao
#fiorito
#porkmodz"
{PS4} {SOLD} LIPONES BIGODAO 7! (JohnnyKammos),https://prod.cloud.rockstargames.com/ugc/gta5mission/4222/raj7pt-6fEWMRdpSyWMEcA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/raj7pt-6fEWMRdpSyWMEcA,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"{SOLD} Feito pelo Soldadodamorte05 ,dedicado ao meu brother Lipao e a gang final mega rampa americana espero que gostem by:Soldadodamorte05  :) #LIPAO #lipao #GANG, copied from ps4...","#kosi
#danirep
#lipao
#fiorito
#porkmodz"
{PS4} {SOLD} LIPONES BIGODAO 6! (JohnnyKammos),https://prod.cloud.rockstargames.com/ugc/gta5mission/9796/EIkDNGiwKkqP4PZnwcAtJQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/EIkDNGiwKkqP4PZnwcAtJQ,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Criado pelo soldadodamorte05,para meu brother lipao,parkour com krieger e akuma,final fino do fino de akuma ,by soldadodamorte05 espero que gostem :)#LIPAO #lipao #DANIREP#PORKMODZ...",
{PS4} LIVELLO LIPAO[6] (Cherife_),https://prod.cloud.rockstargames.com/ugc/gta5mission/7520/T-on15FZJk2JmYEcwwStbA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/T-on15FZJk2JmYEcwwStbA,https://socialclub.rockstargames.com/member/__xyjlugah__/jobs?title=gtav&platform=pc,__XyJluGaH__,"SEXTA CORRIDINHA DA SERIE DO MITO LIPAO BIGODAO!!VAI E VEM DO PS @Higor @Lipao @Skorpion MEU CANAL NO YT:Cherife Brazuka, copied from ps4!",##lipao
{PS4} {4T} BIGODAO SKILL 47 ! (lLuNaTicZinN),https://prod.cloud.rockstargames.com/ugc/gta5mission/5987/gzsbTINTZEGgQWFqeOSbMw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/gzsbTINTZEGgQWFqeOSbMw,https://socialclub.rockstargames.com/member/__xyjlugah__/jobs?title=gtav&platform=pc,__XyJluGaH__,"YouTube: LUN4TIC / Estou de volta, sera?! Tentando tirar um pouco as ferrugem. Corrida fácil dedicada ao mano Liposa e toda a Gang profissa :) Veículos: Fuscao preto, Zentorno e fr...",
{PS4} {KB} JUNINHO MODKOUR (KauanBigodao),https://prod.cloud.rockstargames.com/ugc/gta5mission/7077/oZdJQCT_eEKLDuTG5UD35g/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/oZdJQCT_eEKLDuTG5UD35g,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Minha primeira corrida mod! espero que goste! dedicada para JuninhoBigodao! by: KauanBigodao.  Final da corrida com uma mega rampa de paraquedas!  veículo: Gaunlet Classic, *NAO ES...",
{PS4} {KB} TigonModKour (KauanBigodao),https://prod.cloud.rockstargames.com/ugc/gta5mission/9470/x-89GJJRnE-Hl8UEs21GrQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/x-89GJJRnE-Hl8UEs21GrQ,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,MAIS UMA CORRIDINHA SUPER DIVERTIDA com A VOLTA DOS OBJETOS MODS! VEÍCULO: TIGON - YOUTUBE: KauanBigodao #ZEAL #PORKMODZ #Skorpion #ANDRYONE #IGÃO - LEVEL EASY--AJUDA MEU CANAL PES...,
{PS4} {KB} ZEAL SHOTAROKOUR (KauanBigodao),https://prod.cloud.rockstargames.com/ugc/gta5mission/5292/CgSYynL7LkKyTMrhHvHcag/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/CgSYynL7LkKyTMrhHvHcag,https://socialclub.rockstargames.com/member/xyjlugah_banned/jobs?title=gtav&platform=pc,XyJluGaH_banned,"corridinha mod dedicada ao zeal, vooe por LS e veja a mega rampa misteriosa haha YT: KauanBigodao - #ZEAL #Porkmodz #Fiorito #Igao #Gusta #Leo Veiculo: SHOTARO YouTube:KauanBigodao...",
{PS4} {4T} BIGODAO SKILL 46 ! (lLuNaTicZinN),https://prod.cloud.rockstargames.com/ugc/gta5mission/7804/-uUWfHWJKEOd2euuTaiCNg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/-uUWfHWJKEOd2euuTaiCNg,https://socialclub.rockstargames.com/member/xyjlugah_banned/jobs?title=gtav&platform=pc,XyJluGaH_banned,"Mý Channel: LUN4TIC /  Corrida dedicada ao parceiro Liposa e toda a Gang profissa :)  parkour fácil com: issi, bati, xa21 e bmx. Uma mistura de OldSchool com NewSchool. Papel e can...",
{PS4} {4T} BIGODAO SKILL 45 ! (lLuNaTicZinN),https://prod.cloud.rockstargames.com/ugc/gta5mission/9445/SYOIcusMrEGxAz26do9xFA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/SYOIcusMrEGxAz26do9xFA,https://socialclub.rockstargames.com/member/xyjlugah_banned/jobs?title=gtav&platform=pc,XyJluGaH_banned,"Mÿ Channel: LUN4TIC - Skill test fácil com o Thrax para o Liposa e sua GANG, espero que curta mano :) No final tem umas rampa ondulada com o Vigilante. / Made In Brazil /  #lipao #...",
{PS4} {4T} BIGODAO SKILL 44 ! (lLuNaTicZinN),https://prod.cloud.rockstargames.com/ugc/gta5mission/9055/lL-uylhVEkymUkNIUoh6Gg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/lL-uylhVEkymUkNIUoh6Gg,https://socialclub.rockstargames.com/member/xyjlugah_banned/jobs?title=gtav&platform=pc,XyJluGaH_banned,"YT: LUN4TIC - Corrida dedicada ao Liposa e toda gang, Suba até o prédio em construção e depois atravesse LS em alguns segundos. Como? Só fazendo pra descobrir :p / Made In Brazil /...",
{PS4} {4T} BIGODAO SKILL 43 ! (lLuNaTicZinN),https://prod.cloud.rockstargames.com/ugc/gta5mission/0186/p6WZbuoMmkKRsjQixeaJVQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/p6WZbuoMmkKRsjQixeaJVQ,https://socialclub.rockstargames.com/member/xyjlugah_banned/jobs?title=gtav&platform=pc,XyJluGaH_banned,YT: LUN4TIC - Corrida dedicada ao Liposa e toda GANG :] Skill fácil de tyrus e final 4x mega rampa troll com Sanchez ! Só profissa vai acertar de primeira :p / Made In Brazil / #li...,
{PS4} {4T} BIGODAO SKILL 42! (lLuNaTicZinN),https://prod.cloud.rockstargames.com/ugc/gta5mission/6344/gAg9nVFunkKHEsrlPY-F-Q/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/gAg9nVFunkKHEsrlPY-F-Q,https://socialclub.rockstargames.com/member/xyjlugah_banned/jobs?title=gtav&platform=pc,XyJluGaH_banned,YT: LUN4TIC - Faça uma patrulha ao redor da praia pra verificar se não tem nenhum zé droguinha e logo em seguida inicie uma adrenalina com o thrax. Final: Tunel de choque !  Corrid...,
{PS4} {4T} BIGODAO SKILL 41 ! (lLuNaTicZinN),https://prod.cloud.rockstargames.com/ugc/gta5mission/8125/cne4o47tA0K8HDqHPe4gvA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/cne4o47tA0K8HDqHPe4gvA,https://socialclub.rockstargames.com/member/xyjlugah_banned/jobs?title=gtav&platform=pc,XyJluGaH_banned,"YT: LUN4TIC - Corrida de Quadriciclo fácil !! Final: Mega escorregador de Quadriciclo / Made In Brazil / #lipao #lun4tic #porkmodz #zeal YouTube : XyJluGaH (nice4ka), copied from p...",
{PS4} {4T} BIGODAO SKILL 40 ! (lLuNaTicZinN),https://prod.cloud.rockstargames.com/ugc/gta5mission/3547/YvUVVYz6N0yGBCAah_t_mA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/YvUVVYz6N0yGBCAah_t_mA,https://socialclub.rockstargames.com/member/xyjlugah_banned/jobs?title=gtav&platform=pc,XyJluGaH_banned,"YT: LUN4TIC - Primeiro skill test com a nova moto Rampant Rocket, dedicado ao liposa e toda Gang :] Espero que gostem ! Final: Mega rampa ondulada !  / Made In Brazil /  #lipao #po...",
