Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
[GTM156] Sniffer821 Parkour Final,https://prod.cloud.rockstargames.com/ugc/gta5mission/8828/8-FtZrYF0k2P_e9igerAdg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/8-FtZrYF0k2P_e9igerAdg,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,"Parkour with @Entity3 @10FWB @Freecrawler --- Guys, after +156 created activities I'm saying goodbye as a PC activity creator --- Thx all for playing my activities more than +680,0...","#mod
#sky
#fun
#creator
#carkour
#danirep
#porkmodz
#sniffer
#semaine"
[GTM154] Ramp Buggy Parkour #1,https://prod.cloud.rockstargames.com/ugc/gta5mission/9027/mX1C4lc6ZUieTBxRnYpSNg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/mX1C4lc6ZUieTBxRnYpSNg,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No contact +4] --- Parkour #1 with the @Ramp Buggy --- Акробатический паркур с @RampBuggy --- Parkour time 8 to +14 minutes (Pro/Noob) --- Parkour MOD --- #Porkmodz #Chris92 #Snif...,"#mod
#auto
#coche
#dlc
#ramp
#rampe
#rampa
#carkour
#semaine"
[GTM152] Freecrawler Parkour #8,https://prod.cloud.rockstargames.com/ugc/gta5mission/5438/HBZAJeX6AEq5oW4qm0Dk-w/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/HBZAJeX6AEq5oW4qm0Dk-w,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No contact +10] --- Parkour #8 with the @Freecrawler --- Акробатический паркур с @Freecrawler --- Parkour time 9 to +15 minutes (Pro/Noob) --- Parkour MOD --- #Porkmodz #Chris92 #...,"#mod
#sky
#4x4
#fun
#dlc
#easy
#carkour
#danirep
#semaine"
[GTM151] Issi Rally Parkour #1,https://prod.cloud.rockstargames.com/ugc/gta5mission/9591/S5aMrkWoa02t0qbI2zhbOQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/S5aMrkWoa02t0qbI2zhbOQ,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No contact +8] --- Parkour #1 with the @IssiRally --- Акробатический паркур с @IssiRally --- Parkour time 8 to +12 minutes (Pro/Noob) --- Parkour MOD --- #Porkmodz #Chris92 #Sniff...,"#mod
#sky
#4x4
#fun
#dlc
#easy
#carkour
#danirep
#semaine"
[GTM150] Crazy Mega Rampa #21,https://prod.cloud.rockstargames.com/ugc/gta5mission/3593/qz7OUmPoo0OsakduRn_uwQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/qz7OUmPoo0OsakduRn_uwQ,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,Mega Ramp Mod #21 ---- Мега рампа с измененными объектами --- Basta saltare dall'alto! --- #Chris92 #Porkmodz #Sniffer821,"#mod
#dlc
#mega
#ramp
#week
#rampa
#danirep
#megarampa
#trukele"
[GTM149] Hotring Everon Parkour #1,https://prod.cloud.rockstargames.com/ugc/gta5mission/5185/omWAfBCp2Eug9XAbi1Gfxw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/omWAfBCp2Eug9XAbi1Gfxw,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No contact +8] --- Parkour #1 with the @HotringEveron --- Акробатический паркур с @HotringEveron --- Parkour time 10 to +14 minutes (Pro/Noob) --- Parkour MOD --- #Porkmodz #Chris...,"#mod
#sky
#fun
#dlc
#parkour
#easy
#carkour
#danirep
#semaine"
[GTM148] Broadway Parkour #1,https://prod.cloud.rockstargames.com/ugc/gta5mission/0489/8WeVyUH1lEuqqCW45wRamA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/8WeVyUH1lEuqqCW45wRamA,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No contact +8] --- Parkour #1 with the @Broadway --- Акробатический паркур с @Broadway --- Parkour time 10 to +12 minutes (Pro/Noob) --- Parkour MOD --- #Porkmodz #Chris92 #Sniffe...,"#mod
#sky
#fun
#dlc
#parkour
#easy
#carkour
#danirep
#semaine"
ToreroXO Parkour [CHKP1],https://prod.cloud.rockstargames.com/ugc/gta5mission/1080/wMjXrASnc0m_8guPA0f77Q/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/wMjXrASnc0m_8guPA0f77Q,https://socialclub.rockstargames.com/member/--__chikin__--/jobs?title=gtav&platform=pc,--__Chikin__--,lambo countach (new) parkour,"#asian
#wallride
#
#wallrideflip
#lucas35bzh
#notasian
#
sniffer821
#chris92
#wallridem"
[GTM122] Patriot Parkour #2,https://prod.cloud.rockstargames.com/ugc/gta5mission/8531/6xRrgss0vUixPcNhGCks1Q/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/6xRrgss0vUixPcNhGCks1Q,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No contact +12] --- Parkour with the @Patriot Militar --- Акробатический паркур с @PatriotMilitar --- Parkour time 12 to +15 minutes (Pro/Noob) --- Parkour MOD for 30 players --- ...,"#mod
#sky
#4x4
#fun
#week
#danirep
#porkmodz
#semaine"
[GTM120] Freecrawler Parkour #7,https://prod.cloud.rockstargames.com/ugc/gta5mission/3881/dWhC1D1cg0CjKparDsHkbg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/dWhC1D1cg0CjKparDsHkbg,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No contact +12] --- Parkour with the @Freecrawler --- Акробатический паркур с @Freecrawler --- Parkour time 10 to +15 minutes (Pro/Noob) --- Parkour MOD for 30 players --- #Porkmo...,"#super
#mod
#sky
#fun
#week
#danirep
#porkmodz
#semaine"
{PS4} [RED] LipaoMegaSkill 21 (MeninoRedModz),https://prod.cloud.rockstargames.com/ugc/gta5mission/9799/GCS_gxtaC02v4sbouxouGw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/GCS_gxtaC02v4sbouxouGw,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"LIMPAO! Mega rampa com 50 avioes e level asian e parkour, level médio brasil, Espero que gostem. #Sniffer821 #KelvinML #Gui124 #DS #Fiorito #Soldado #FRANN #Camg #Kawaii #Nabil #Ro...","#kosi
#danirep
#zeal
#lipao
#lasalle
#porkmodz"
{PS4} [RED] LipaoMegaSkill 19 (MeninoRedModz),https://prod.cloud.rockstargames.com/ugc/gta5mission/1480/hDxVF3srSEabyJo9qN3NdA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/hDxVF3srSEabyJo9qN3NdA,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"FALA LIMPAO! nessa corrida level asian e muito salto com carro F1 e TOREADOR, level esay brasil, espero que gostem. #Sniffer821 #KelvinML #Gui124 #DS #Fiorito #Soldado #FRANN #Camg...","#parkour
#parcours
#carkour
#danirep
#zeal
#lipao
#lasalle
#porkmodz"
{PS4} [RED] FACE TO BOMBA (MeninoRedModz),https://prod.cloud.rockstargames.com/ugc/gta5mission/2529/yZVlz44M6ESbZiTRU9pkOg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/yZVlz44M6ESbZiTRU9pkOg,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Face to Face da bomba, cara a cara e vai e vem(volta). Espero que gostem. #BRUTALE #KelvinML #Gui124 #Soldado #KM #Riffa #MR #Max #DS #Camg #WS #Mara #JanGal #Kawaii #Kosi #FRANN #...",
[GTM115] Lurcher Parkour #1,https://prod.cloud.rockstargames.com/ugc/gta5mission/4147/ccCadpqX5E2J64RrCvGGuw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/ccCadpqX5E2J64RrCvGGuw,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No Contact +8] --- Parkour with the @Lurcher --- Parkour MOD in Cayo Perico ---- Race Time 12 to +15 minutes ---- #Chris92 #Porkmodz #Sniffer821 #lxlGATOlxl,"#mod
#sky
#fun
#parkour
#easy
#carkour
#danirep
#semaine
#cayoperico"
{PS4} [RED] FACE TO CAIXÃO (MeninoRedModz),https://prod.cloud.rockstargames.com/ugc/gta5mission/6003/MYgE9xaKFEWLL73frb0RNA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/MYgE9xaKFEWLL73frb0RNA,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Face to face 999999 caixão, cara a cara, vai e vem(volta). Espero que gostem, FAÇO LIVE TODOS DIAS NA TWITCH ME SEGUE LA. Twitch: redoficiai #KelvinML #Sniffer821 #Gui124 #DS #Zerk...",
{PS4} [RED] LipaoMegaSkill 18 (MeninoRedModz),https://prod.cloud.rockstargames.com/ugc/gta5mission/1267/lpfQXXpzd0Sxb84hOS8BIg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/lpfQXXpzd0Sxb84hOS8BIg,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"FALA LIMPAO! Corrida nostálgica com objeto antigo e objeto atual. Level esay brasil, espero que gostem. #Sniffer821 #KelvinML #Gui124 #DS #Fiorito # Soldado #FRANN #Maxi #Camg #Kaw...","#parkour
#kosi
#carkour
#danirep
#zeal
#lipao
#lasalle
#porkmodz"
[GTM109] Crazy Cara a Cara #12,https://prod.cloud.rockstargames.com/ugc/gta5mission/0597/WhZgkjEw3kCgL96c3eyAFQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/WhZgkjEw3kCgL96c3eyAFQ,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,Face to Face Mod --- Take the spiral with speed and don't try to cheat :D  ---- #Sniffer821 #Danirep #Chris92 #Porkmodz #Shepard #F2F #Face #To,"#mod
#sky
#4x4
#fun
#parkour
#easy
#carkour
#danirep
#semaine"
[GTM106] Trophy Truck Parkour #2,https://prod.cloud.rockstargames.com/ugc/gta5mission/2473/g6JJ5INcN06kvAIg1LMSJw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/g6JJ5INcN06kvAIg1LMSJw,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No Contact +10] --- Parkour with the @Trophy Truck --- Parkour time 12 to +16 minutes --- #Chris92 #Porkmodz #Sniffer821,"#mod
#sky
#fun
#parkour
#easy
#carkour
#danirep
#lipao
#semaine"
{PS4} [RED] LipaoMegaSkill 16 (MeninoRedModz),https://prod.cloud.rockstargames.com/ugc/gta5mission/5100/UgCX_I3ddk6erLcK2IQZDA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/UgCX_I3ddk6erLcK2IQZDA,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"FALA LIMPAO mais um parkour com final troll das bombas, level esay brasil. Espero que gostem. #Sniffer821 #KelvinML #Gui124 #DS #Fiorito #Soldado #FRANN #Maxi #Camg #Kawaii #Nabil ...",
{PS4} [RED] FACE TO 30 №3 (MeninoRedModz),https://prod.cloud.rockstargames.com/ugc/gta5mission/9646/jmltc2gbfE2e3hCpMzgWXw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/jmltc2gbfE2e3hCpMzgWXw,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Face to face com 30 jogadores, cara a cara, vai e vai(volta). Espero que gostem. MEU CANAL DO YTB: Red Oficial #Sniffer821 #KelvinML #Maxi #aCoaxion #Camg #WS #Kawaii #Kosi #FRANN ...",
{PS4} [RED] FACE TO CURVA 2 (MeninoRedModz),https://prod.cloud.rockstargames.com/ugc/gta5mission/4526/pjMONQI2ekWWeFT6kPEwHw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/pjMONQI2ekWWeFT6kPEwHw,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Face to face curva 2, cara a cara e vai e vem(volta), Espero que gostem. #BRUTALE #KelvinML #Gui124 #Soldado #xCoaxion #Emerson03br #KM #Riffa #MR #Max #DS #Camg #WS #Kawaii #Kosi ...",
{PS4} [RED] FACE TO FATIADO (MeninoRedModz),https://prod.cloud.rockstargames.com/ugc/gta5mission/9010/k8tKmz3qRE-mhzinnY82DQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/k8tKmz3qRE-mhzinnY82DQ,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Face to face fatiado, cara a cara e vai e vem(volta), Espero que gostem. #BRUTALE #KelvinML #Gui124 #Soldado #xCoaxion #Emerson03br #KM #Riffa #MR #Max #DS #Camg #WS #Kawaii #Kosi ...",
