Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
{XEN} SkillTest #2,https://prod.cloud.rockstargames.com/ugc/gta5mission/9639/zNRuOH0iLECT7ENdef_QKg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/zNRuOH0iLECT7ENdef_QKg,https://socialclub.rockstargames.com/member/ksenia__22/jobs?title=gtav&platform=pc,Ksenia__22,Долетушки) Что-то на ХА-21 и Freecrawler,
{PS5} #BLG FREECRAWLER PARKOUR (BobLaGPU),https://prod.cloud.rockstargames.com/ugc/gta5mission/6991/rcPbv8FZDkanWQFRRDf9aQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/rcPbv8FZDkanWQFRRDf9aQ,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Freecrawler ¥ Hard parkour ¥ Frenchquality ¥ BobLaGPU, copied from ps5!",
{PS4} [ML8]- Freecrawler_kour (Mapache_loco_8cl),https://prod.cloud.rockstargames.com/ugc/gta5mission/3069/egUB7EPCpkKu8U5ACVjO5Q/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/egUB7EPCpkKu8U5ACVjO5Q,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Carrera parkour con el todoterreno Freecrawler... Recomendado sin contacto [[ NO CONTACT RECOMMENDED ]] SC# Mapache_loco_8, copied from ps4!",
{PS4} [O-Z] CANIS FREECRAWLER (O-Z_31100),https://prod.cloud.rockstargames.com/ugc/gta5mission/3716/zkl0zBrqpEqsgSWDrdVWgw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/zkl0zBrqpEqsgSWDrdVWgw,https://socialclub.rockstargames.com/member/gazastreifen/jobs?title=gtav&platform=pc,Gazastreifen,"Petit Parcours en Canis Freecrawler [Non Custom] (:Bon Game A Tous:) 24.04.2023  made by O-Z_31100, copied from ps4!",
The Art of Parkour 7,https://prod.cloud.rockstargames.com/ugc/gta5mission/3973/UsHgJQF1d0aPlkb-69_TCw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/UsHgJQF1d0aPlkb-69_TCw,https://socialclub.rockstargames.com/member/nico92898/jobs?title=gtav&platform=pc,nico92898,"Easy and Funny Parkour with Freecrawler,On Foot and Veto Modern.Can you find the mysterious Loch Ness Monster :) ?","#parkour
#gokart
#wallride
#
#lpmitkev
#deko
#lusor
#lusors
#marbossa"
The Art of Parkour 6,https://prod.cloud.rockstargames.com/ugc/gta5mission/5152/luy0-wT76UGEFZ47MxYelA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/luy0-wT76UGEFZ47MxYelA,https://socialclub.rockstargames.com/member/nico92898/jobs?title=gtav&platform=pc,nico92898,"Easy and Funny Parkour with Freecrawler,Go Kart Classic,Go Kart Modern and on Foot!","#parkour
#gokart
#wallride
#
#lpmitkev
#deko
#lusor
#lusors
#marbossa"
The Art of Parkour 5,https://prod.cloud.rockstargames.com/ugc/gta5mission/2807/oLqcZ16S4kyv9kDILc3u2w/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/oLqcZ16S4kyv9kDILc3u2w,https://socialclub.rockstargames.com/member/nico92898/jobs?title=gtav&platform=pc,nico92898,"Easy and Funny Parkour with Freecrawler,Deluxo and on Foot!","#parkour
#easy
#wallride
#
#lpmitkev
#deko
#lusor
#lusors
#marbossa"
The Art of Parkour 4,https://prod.cloud.rockstargames.com/ugc/gta5mission/0220/-nc7UjLyqku4e04Q_pmO-w/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/-nc7UjLyqku4e04Q_pmO-w,https://socialclub.rockstargames.com/member/nico92898/jobs?title=gtav&platform=pc,nico92898,"Easy and Funny Parkour with ; Freecrawler,Pr4 and on Foot !","#parkour
#easy
#wallride
#
#lpmitkev
#deko
#lusor
#lusors
#marbossa"
The Art of Parkour 3,https://prod.cloud.rockstargames.com/ugc/gta5mission/0477/lU61sS2DU02fkM1lw2-2iQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/lU61sS2DU02fkM1lw2-2iQ,https://socialclub.rockstargames.com/member/nico92898/jobs?title=gtav&platform=pc,nico92898,"Easy and Funny Parkour with Freecrawler,Pr4,Bmx and a little bit Bati and Ruiner 2000(Press E to Jump) !","#parkour
#easy
#wallride
#
#lpmitkev
#deko
#lusor
#lusors
#marbossa"
The Art of Parkour 2,https://prod.cloud.rockstargames.com/ugc/gta5mission/9453/_lX0mVa2D0eZx43oL5cAXQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/_lX0mVa2D0eZx43oL5cAXQ,https://socialclub.rockstargames.com/member/nico92898/jobs?title=gtav&platform=pc,nico92898,"Funny and Easy Parkour with Vehicles ; Blazer Aqua,Freecrawler,PR4,BMX,Deluxo","#blazer
#parkour
#
#lpmitkev
#deluxo
#pr4
#lusor
#lusors
#
freecrawler"
The Art of Parkour,https://prod.cloud.rockstargames.com/ugc/gta5mission/3228/KzNqfIbFdkmeGqDB5UGs8Q/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/KzNqfIbFdkmeGqDB5UGs8Q,https://socialclub.rockstargames.com/member/nico92898/jobs?title=gtav&platform=pc,nico92898,"Easy and Funny Parkour with Vehicle ; Freecrawler,Panto,Foot,PR4 and Sanchez !","#bike
#stunt
#slide
#foot
#parkour
#lpmitkev
#lusor
#lusors
#
freecrawler"
