Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
Hard Parkour T20,https://prod.cloud.rockstargames.com/ugc/gta5mission/2996/Ivi9x-YmPE-1kztP6Artsg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/Ivi9x-YmPE-1kztP6Artsg,https://socialclub.rockstargames.com/member/ii-anthox-ii/jobs?title=gtav&platform=pc,II-ANTHOX-II,"hard parkour, only T20 basic, no custom, glhf ;)","#fun
#
hard
#
parkour
#t20"
{PS5} #BLG FREECRAWLER PARKOUR (BobLaGPU),https://prod.cloud.rockstargames.com/ugc/gta5mission/6991/rcPbv8FZDkanWQFRRDf9aQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/rcPbv8FZDkanWQFRRDf9aQ,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Freecrawler ¥ Hard parkour ¥ Frenchquality ¥ BobLaGPU, copied from ps5!",
{XB1} FJ's BMX Parkour (LuniFJ),https://prod.cloud.rockstargames.com/ugc/gta5mission/3467/Cygy3wi6ikCbiMde6w-rlA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/Cygy3wi6ikCbiMde6w-rlA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"5% POSSIBLE!!!!!!!!!! VERY HARD BMX PARKOUR!!!!!!!!! If you suffer from Migraines, ADHD or Anger Issues, PLEASE DO NOT DO THIS RACE AT ALL!!!!!!!!!!! - WORLD RECORD: 5:09:090, copi...",
DRAGON HARD PARKOUR V8,https://prod.cloud.rockstargames.com/ugc/gta5mission/8534/jJeMQvR8HUqo5SOQK-0BTg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/jJeMQvR8HUqo5SOQK-0BTg,https://socialclub.rockstargames.com/member/igoddragonking/jobs?title=gtav&platform=pc,IGodDragonKing,GOD GAME,"#
parkour
#facetoface"
£''{Tropical} Parkour ''£,https://prod.cloud.rockstargames.com/ugc/gta5mission/6820/8wJmuPe6WUylqxlqYQ_-Uw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/8wJmuPe6WUylqxlqYQ_-Uw,https://socialclub.rockstargames.com/member/ii-vexzy-ii/jobs?title=gtav&platform=pc,II-VEXZY-II,Parkour HARD niveau de difficulté 8I10 La course ce fait en panto et en sankig xl sur le theme tropical Bonne course ;),"#fun
#
hard
#
parkour
#parcour
#panto"
{PS4} Hard+ Polymorphe Parkour (CopaOff),https://prod.cloud.rockstargames.com/ugc/gta5mission/8193/3Or9ePSOZUCn_ZKRymXNuQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/3Or9ePSOZUCn_ZKRymXNuQ,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Je met 10 balles vous finissez pas la courses (30€ sur jujux), copied from ps4!","#
hard"
Parkour Ignus No hard,https://prod.cloud.rockstargames.com/ugc/gta5mission/2470/uQMvF1xwc068Lcnr4Ks8WQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/uQMvF1xwc068Lcnr4Ks8WQ,https://socialclub.rockstargames.com/member/smiin_/jobs?title=gtav&platform=pc,smiiN_,"Контакт по желанию, но если больше 10+, то бесконтакт. Присутсвутют фейковые чеки, а так же не пропускайте подсказки))0)","#race
#
hard
#youtube
#easy
#parcour
#carkour
#skilltest
#carcour
#ignus"
DRAGON HARD PARKOUR V7,https://prod.cloud.rockstargames.com/ugc/gta5mission/3141/V3SGQJh7ak-P2tJEgE-t7A/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/V3SGQJh7ak-P2tJEgE-t7A,https://socialclub.rockstargames.com/member/igoddragonking/jobs?title=gtav&platform=pc,IGodDragonKing,YT DRAGON HACK,
DRAGON HARD PARKOUR V6 EZ,https://prod.cloud.rockstargames.com/ugc/gta5mission/3773/o8uKts0_VkKKmCzyU2lUxA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/o8uKts0_VkKKmCzyU2lUxA,https://socialclub.rockstargames.com/member/igoddragonking/jobs?title=gtav&platform=pc,IGodDragonKing,YT DRAGON HACK,
{PS4} Parkour moto Hard #17 (Lucas35bzhGTA),https://prod.cloud.rockstargames.com/ugc/gta5mission/3865/cFbvx1M3O0aZcLOPgIeKqA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/cFbvx1M3O0aZcLOPgIeKqA,https://socialclub.rockstargames.com/member/thechenko/jobs?title=gtav&platform=pc,TheChenko,"Hey Si tu est pa bon en planage ou en équilibre la course n'est pas fais pout toi , bonne chance et bonne rage . , #TABS #XA21 #LVXA #PORK  . Ytb : Lucas35bzh-GTA .  made by Lucas3...","#moto
#
hard
#bati
#pork
#
parkour
#
#tabs
#xa21
#lvxa"
