Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
parkour modz (cayo),https://prod.cloud.rockstargames.com/ugc/gta5mission/1725/MB9GuCgAWEmXgL0UKn-PIA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/MB9GuCgAWEmXgL0UKn-PIA,https://socialclub.rockstargames.com/member/affmal-y94/jobs?title=gtav&platform=pc,affmal-y94,by affmal modz,
PARKOUR MODDS°]*****[;;;,https://prod.cloud.rockstargames.com/ugc/gta5mission/5195/HkcfuTeX8kSDJK28GyuUpQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/HkcfuTeX8kSDJK28GyuUpQ,https://socialclub.rockstargames.com/member/rodriguez1794/jobs?title=gtav&platform=pc,Rodriguez1794,PARKOUR MOD DE TODO UN POCO #FACIL QUE TE DIVIERTAS,"#
mod
.races"
[GTM154] Ramp Buggy Parkour #1,https://prod.cloud.rockstargames.com/ugc/gta5mission/9027/mX1C4lc6ZUieTBxRnYpSNg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/mX1C4lc6ZUieTBxRnYpSNg,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No contact +4] --- Parkour #1 with the @Ramp Buggy --- Акробатический паркур с @RampBuggy --- Parkour time 8 to +14 minutes (Pro/Noob) --- Parkour MOD --- #Porkmodz #Chris92 #Snif...,"#
mod
#auto
#coche
#dlc
#ramp
#rampe
#rampa
#carkour
#semaine"
{PS4} {E_} Eudora KOUR (ersino_YT),https://prod.cloud.rockstargames.com/ugc/gta5mission/5343/8rA9WwDC40iMFayTMDQWiA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/8rA9WwDC40iMFayTMDQWiA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Holaaa chicos y chicas , hoy os traigo un parkour con el bolido Eudora con zonas faciles y otras dificiles con accesorios mod , espero q lo disfruten | YT:ersino TWITCH:IammErsino ...",
faggio mod parkour - THE ARVIND,https://prod.cloud.rockstargames.com/ugc/gta5mission/3051/wVoQa9Mk5UymHTnu7-u9eQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/wVoQa9Mk5UymHTnu7-u9eQ,https://socialclub.rockstargames.com/member/ag_arvind08/jobs?title=gtav&platform=pc,AG_Arvind08,NEW PARKOUR RACE [YOUTUBE - THE ARVIND],"#bike
#race
#moto
#mega
#
parkour
#facetoface"
faggio stuntglide parkour,https://prod.cloud.rockstargames.com/ugc/gta5mission/4892/aQw2FL06UEGWUGMg_6pjLA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/aQw2FL06UEGWUGMg_6pjLA,https://socialclub.rockstargames.com/member/guilty363/jobs?title=gtav&platform=pc,Guilty363,the straightest faggio parkour. get ur god mod faggio jet and take off!!! #faggio #stunt #parkour #glide,
{PS4} ParkourPro Mood Rebla (OriundoRC19),https://prod.cloud.rockstargames.com/ugc/gta5mission/2728/J5Tj28MaQk6M9x8xfP2ovA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/J5Tj28MaQk6M9x8xfP2ovA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Primera carrera Parkour con accesorios Mod, con el Rebla GTS de nivel fácil, espero que les guste #OriundoRC, copied from ps4!",
[GTM152] Freecrawler Parkour #8,https://prod.cloud.rockstargames.com/ugc/gta5mission/5438/HBZAJeX6AEq5oW4qm0Dk-w/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/HBZAJeX6AEq5oW4qm0Dk-w,https://socialclub.rockstargames.com/member/sniffer821/jobs?title=gtav&platform=pc,Sniffer821,[No contact +10] --- Parkour #8 with the @Freecrawler --- Акробатический паркур с @Freecrawler --- Parkour time 9 to +15 minutes (Pro/Noob) --- Parkour MOD --- #Porkmodz #Chris92 #...,"#
mod
#sky
#4x4
#fun
#dlc
#easy
#carkour
#danirep
#semaine"
{PS4} [PM] Parkour Veto Moderne (patoudemoorea),https://prod.cloud.rockstargames.com/ugc/gta5mission/1087/4P4K8dzNNEK1THPNafyL7w/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/4P4K8dzNNEK1THPNafyL7w,https://socialclub.rockstargames.com/member/gazastreifen/jobs?title=gtav&platform=pc,Gazastreifen,À la fin il y a un triple transferts (pour le fun) mais vous n'êtes pas obligés de le faire pour finir le parcours. #CREA #OXYS #CHRIS92 #TFAM #NSRC #PT89 #GPCR #GALA #TONE #XA21  ...,"#fun
#kart
#
parkour"
{PS4} PARKOUR NATALIZIO (ModzZ_v1nc3),https://prod.cloud.rockstargames.com/ugc/gta5mission/9447/hgZyWBvrOEWB1Z8fdtjBTA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/hgZyWBvrOEWB1Z8fdtjBTA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"GARA PER #ROMANACCIO_KILLE #PORKMODZ      YOUTUBE ModzZ_v1nc3  BUON NATALE A TUTTI I SUINI, copied from ps4!",
{PS4} F1 PARKOUR PORKMODZ (ModzZ_v1nc3),https://prod.cloud.rockstargames.com/ugc/gta5mission/8770/4QZ5NOZU1ECSZLKJU7j-rQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/4QZ5NOZU1ECSZLKJU7j-rQ,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"MACCHINA CONSIGLIATA KRIEGER , GARA PARKOUR PER PORKMODZ #PORKMODZ #STEFYDJ182 #romanaccio_kille, copied from ps4!",
{PS4} PARKOUR +MODZ+ N°20 (ModzZ_v1nc3),https://prod.cloud.rockstargames.com/ugc/gta5mission/3453/DxV4ZohljU-QHh5H21WyGQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/DxV4ZohljU-QHh5H21WyGQ,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"PARKOUR STUNT PER #PORMODZ #DS_CRTV3L #PORK_ITALY #SIMPORICKY #ROMANACCIO_KILLE #FIORITO #TSR_RICKY_ITA #DAMEMA, copied from ps4!",
