Title,Image,ugccard__wrap__2dpy7_URL,User_URL,User,Mark,Keywords
{PS4} -Wild Ride Downtown-  (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/1139/TYXWeGBZzkWMxZvKEA5MOw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/TYXWeGBZzkWMxZvKEA5MOw,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Stunt race in downtown LS. Fourth Wild Ride. NO AUTOMATICS, NO SLOWDOWNS. Steer, aim, and brake when needed. Go straight on jumps! Have a wild ride!  WORLD RECORD: llSOLIDESNAKEll ...","#city
#race
#stunt
#jumps
#parkour
#wallrides"
{PS4} -Aquarius Castle- Parkour (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/7288/VR2v2gM0P0iFU1QSqgE_1g/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/VR2v2gM0P0iFU1QSqgE_1g,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Fifth Aquarius adventure. Gates to the castle got jammed shut. Find a way in, and make your way around. Limited hints and directions. Main rides will be Rapid GT Classic, and Cheet...","#water
#castle
#balance
#jumps
#parkour
#adventure
#wallrides"
{PS4} -Goosed Tricky Path- (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/3912/Xj_pW77ZMkalMsqcABR1mw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/Xj_pW77ZMkalMsqcABR1mw,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Offroad race in Northeast. If you look for fast racing, look elsewhere. Here, slow and smooth is fast. Technical offroad driving. Test 10 min. WORLD RECORD:  ??:??.???, copied from...","#offroad
#climb
#crawl
#steep
#technical
#riata"
{PS4} -Lake of Fire 4--Parkour (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/7430/6YGrTIYetESje1ManLhUvg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/6YGrTIYetESje1ManLhUvg,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Welcome back to the Alamo Sea, the Lake of Fire. Your rides will be Trophy Truck and Jugular. Medium difficulty. Test 15 min., copied from ps4!",
{PS4} -Goosed Rallycross 2- (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/4061/abBOtzXEt06YOi1F3vmRnA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/abBOtzXEt06YOi1F3vmRnA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Rallycross in desert land. Sand, gravel, and hard surface. (Or snow) Black or red directional signs signal split road. Red riskier, but potentially faster. WORLD RECORD:, copied fr...",
{PS4} -Goosed Rallycross- (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/4572/XjtIuNwSYke87LhHDgU6zg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/XjtIuNwSYke87LhHDgU6zg,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Rallycross in northwest coast on sandy beach, gravel, grass, and hard surface. (Or snow)   LAP WORLD RECORD: mirkovip91  03:31.099, copied from ps4!","#beach
#speed
#sand
#rally
#grass
#jumps
#tarmac"
{PS4} -Eagles Nest- Parkour (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/1907/357_HypAdUyIpEg-zIUlEQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/357_HypAdUyIpEg-zIUlEQ,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Action packed parkour on mountain base, and mountain top. Get to the base and make your way to the Eagle's Nest. A circle surrounds the nest, and this has to be used to access diff...","#speed
#mountain
#stunt
#balance
#jumps
#parkour
#wallride"
{PS4} -Wild Ride Nanou's Beach- (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/3807/-rppI6-mM0CEXpj81G66NA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/-rppI6-mM0CEXpj81G66NA,https://socialclub.rockstargames.com/member/__-xyjlugah-__/jobs?title=gtav&platform=pc,__-XyJluGaH-__,"Stunt race in southeast coast. A pink and black wild ride with beaches appeared on PrincesseNanou's birthday wish list, so here it is. NO AUTOMATICS, NO SLOWDOWNS. Steer, aim, and ...","#beach
#road
#speed
#stunt
#ocean
#jumps
#parkour
#wallride"
{PS4} -Wild Ride EastCoast- (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/1782/q7ryasDrXUuyhqR7PG5SQg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/q7ryasDrXUuyhqR7PG5SQg,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Stunt race at northeast coastal area. Sequel to Wild Ride Canyon. Laps. UPDATED. From road to ocean via mountains. Many jumps, wallrides, and dives. Brakes are useful sometimes. No...","#road
#speed
#mountain
#stunt
#ocean
#jumps
#parkour
#wallrides"
{PS4} -Aquarius Ruins 2-Parkour (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/3728/lPnDd_tcIEOxvGKBghnr4A/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/lPnDd_tcIEOxvGKBghnr4A,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Fourth Aquarius adventure, and second ruins. No directions, no arrows. Look for next checkpoint, an exit, or a way forward. No slowdowns because you have brakes. Easy driving, but ...","#water
#balance
#jumps
#parkour
#adventure
#wallride
#ruins
#transform"
{PS4} -Lake of Fire 3--Parkour (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/6493/9ZDyi4Hoe0uB2IhPR4OWrw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/9ZDyi4Hoe0uB2IhPR4OWrw,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"The Alamo Sea is still burning. New sections, and new challenges is engulfed in flames. Use Dragur and Flash GT to make your way through. Easy/medium difficulty. Works fine with bo...","#fire
#skull
#lake
#balance
#skill
#jumps
#parkour
#wallride
#transform"
{PS4} -Wild Ride Canyon- (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/6342/42AZa3tCjE6A03xqrmoxlA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/42AZa3tCjE6A03xqrmoxlA,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Stunt race in canyonland. Laps. Lots of jumps, wallrides, and dives. No slowdowns, check brakes. (needed a few times)  Recommend min 2 laps. Easy / medium difficulty. Maybe hard fo...","#road
#speed
#stunt
#lake
#canyon
#jumps
#parkour
#wallrides"
{PS4} [Brioso Airport Parkour]# (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/1536/YCy4o7Qi3USAXmQnSWnjyw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/YCy4o7Qi3USAXmQnSWnjyw,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"YEY!!! Parkour outside, inside, and over the airport. Good Luck.. UPDATED: Removed cheat option, made slightly easier. , copied from ps4!",
{PS4} [[[[[Waterworld 2]]]]] (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/9728/G7kUouQzcUmNIQpnqAGQbg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/G7kUouQzcUmNIQpnqAGQbg,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"A new waterworld has formed. It has to be explored with parkour, jumps, and wallrides. UPDATED. Beware of rough sea. Keep motor above water. Use Speeder, Freecrawler, XA-21, and Bl...",
{PS4} -Aquarius Fort- Parkour (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/7013/emKUKqRmMEevECOapMIWzg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/emKUKqRmMEevECOapMIWzg,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Third Aquarius parkour adventure. 2 UPDATES. Explore the inside of the fortress with many jumps, wallrides, and other challenges. Limited hints with direction arrows. As usual no s...",
{PS4} -Aquarius Ruins- Parkour (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/7662/8K6V20Rbb0mTmJB1ewV5oA/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/8K6V20Rbb0mTmJB1ewV5oA,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Sequel to Aquarius Temple. Explore your way through the ruins. UPDATED. No directions and arrow signs. Look for next checkpoint, an exit, or a way forward. No slowdowns, because yo...","#water
#temple
#jumps
#parkour
#balancing
#wallride
#ruins
#transform"
{PS4} -Lake of Fire 2--Parkour- (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/4228/o8Z_mHaIwE-eHddVYyih2g/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/o8Z_mHaIwE-eHddVYyih2g,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"The Alamo Sea is on fire again! New sections, and new challenges. Recommend night parkouring because it looks nice :) All props highly visual. Transforms to Trophy Truck and Tropos...",
{PS4} [Brioso Airport Parkour]# (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/8888/OrkM910XSE6GP-Cjn1R0Qg/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/OrkM910XSE6GP-Cjn1R0Qg,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"YEY!!! Parkour outside, inside, and over the airport. Good Luck.. UPDATED: Removed cheat option, made slightly easier., copied from ps4!",
{PS4} -Aquarius Temple- Parkour (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/2360/gRkMr_pDm0WPfj_gda0CJQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/gRkMr_pDm0WPfj_gda0CJQ,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"Adventurous parkour race within walls. UPDATED. Enter the temple and make your way around, over, and through the many obstacles inside. (Water level changes) Find the exit, and cro...","#race
#water
#jumps
#parkour
#adventure
#wallride
#obstacles
#transform"
{PS4} $$$[[[[[Damnit!!!!!!!!! (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/2559/UFF5tQA7CU69yn_HgPntrw/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/UFF5tQA7CU69yn_HgPntrw,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"------Asphalt racing with ramps and jumps ------, copied from ps4!","#fast
#stunt
#jumps
#platforms
#asphalt"
{PS4} $$$[[[Roofour]]]$$$ (Yellowdex),https://prod.cloud.rockstargames.com/ugc/gta5mission/4071/CDQb2NPc2UeYcxkaH53IoQ/2_0.jpg,https://socialclub.rockstargames.com/job/gtav/CDQb2NPc2UeYcxkaH53IoQ,https://socialclub.rockstargames.com/member/___xyjlugah___/jobs?title=gtav&platform=pc,___XyJluGaH___,"-------Urban offroad. Make your way through and over the industrial area., copied from ps4!","#offroad
#buildings
#jumps
#parkour
#platforms"
